HAPPY,DISGUSTED,CALM ,SAD,FEAR,CONFUSED,SURPRISED,ANGRY,emotion
98,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
96,2,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
98,0,0,0,0,0,0,0,p
97,0,0,0,0,0,0,0,p
98,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
92,6,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
99,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
100,0,0,0,0,0,0,0,p
0,21,56,6,0,0,0,6,z
0,28,41,0,0,0,0,9,z
0,8,31,8,0,0,0,45,z
3,78,14,0,0,0,0,0,z
22,36,28,0,0,0,0,0,z
44,28,19,0,0,0,0,0,z
1,97,0,0,0,0,0,0,z
5,90,2,0,0,0,0,0,z
0,93,1,0,0,0,0,1,z
0,45,26,0,0,0,0,10,z
0,79,7,0,0,0,0,7,z
0,37,13,0,0,0,0,37,z
0,0,45,9,0,0,0,25,z
0,7,11,0,0,0,0,70,z
0,18,10,0,0,0,0,54,z
0,15,14,0,0,0,0,55,z
0,14,13,0,0,0,0,50,z
0,92,0,0,0,0,0,3,n
0,86,0,0,0,0,0,5,n
0,61,0,0,0,0,0,12,n
0,52,0,0,0,0,0,16,n
0,69,0,0,0,0,0,10,n
0,72,0,0,0,0,0,9,n
0,51,0,0,0,0,0,16,n
0,54,0,0,0,0,0,13,n
0,61,0,0,0,0,0,21,n
0,57,0,0,0,0,0,20,n
0,65,0,0,0,0,0,11,n
0,80,0,0,0,0,0,8,n
0,79,0,0,0,0,0,13,n
0,75,0,0,0,0,0,14,n
0,66,0,0,0,0,0,20,n
0,82,0,0,0,0,0,8,n
0,80,0,0,0,0,0,12,n
0,77,0,0,0,0,0,12,n
0,68,0,0,0,0,0,19,n
0,70,0,0,0,0,0,16,n
0,69,0,0,0,0,0,17,n
60.12 ,0.00 ,9.28 ,0.00 ,0.00 ,10.11 ,0.00 ,0.00 ,p
99.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
97.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
98.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,p
99.74 ,0,0,0,0,0,0,0,p
99.77 ,0,0,0,0,0,0,0,p
99.75 ,0,0,0,0,0,0,0,p
99.07 ,0,0,0,0,0,0,0,p
99.93 ,0,0,0,0,0,0,0,p
99.93 ,0,0,0,0,0,0,0,p
99.87 ,0,0,0,0,0,0,0,p
99.82 ,0,0,0,0,0,0,0,p
99.26 ,0,0,0,0,0,0,0,p
99.26 ,0,0,0,0,0,0,0,p
0.00 ,0.00 ,27.10 ,65.70 ,0.00 ,0.00 ,0.00 ,2.50 ,z
2.10 ,0.00 ,92.30 ,2.50 ,0.00 ,0.00 ,0.00 ,0.00 ,z
8.40 ,0.00 ,75.60 ,10.90 ,0.00 ,0.00 ,0.00 ,0.00 ,z
33.10 ,0.00 ,55.10 ,6.30 ,0.00 ,0.00 ,0.00 ,0.00 ,z
3.50 ,0.00 ,51.50 ,37.90 ,0.00 ,0.00 ,0.00 ,0.00 ,z
0.00 ,0.00 ,30.70 ,60.30 ,0.00 ,0.00 ,0.00 ,4.60 ,z
43.10 ,0.00 ,45.60 ,3.10 ,0.00 ,0.00 ,0.00 ,0.00 ,z
17.42 ,0.00 ,45.50 ,20.86 ,0.00 ,0.00 ,0.00 ,0.00 ,z
3.87 ,0.00 ,68.69 ,20.76 ,0.00 ,0.00 ,0.00 ,0.00 ,z
12.21 ,0.00 ,42.96 ,24.21 ,0.00 ,0.00 ,0.00 ,0.00 ,z
0.00 ,0.00 ,4.37 ,88.20 ,0.00 ,0.00 ,0.00 ,2.81 ,n
0.00 ,0.00 ,0.00 ,98.91 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,2.68 ,95.11 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,4.20 ,94.10 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,99.54 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,2.58 ,96.96 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,99.62 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,14.37 ,82.91 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,2.55 ,96.51 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,12.39 ,85.75 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.67 ,96.86 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.66 ,97.84 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,38.15 ,54.99 ,0.00 ,1.88 ,0.00 ,1.75 ,n
0.00 ,0.00 ,3.75 ,93.36 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,7.87 ,82.38 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,3.11 ,94.48 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,3.99 ,91.57 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,97.44 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.97 ,95.46 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.35 ,96.31 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,2.30 ,90.62 ,0.00 ,3.12 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,98.58 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.79 ,96.77 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,97.70 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,98.41 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,24.92 ,59.50 ,0.00 ,5.36 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,96.65 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,6.36 ,81.82 ,0.00 ,0.00 ,0.00 ,4.16 ,n
99,0,0.2,0,0,0,0,0,p
99,0.1,0.1,0,0,0,0,0,p
99,0,0.09,0,0,0,0,0,p
99,0,0.07,0,0,0,0,0,p
97,0,0.8,0,0,0,0,0,p
95,0,1,1,0,0,0,0,p
95,0,0.9,0,0,0,0,0,p
94,0,1,0,0,0,0,0,p
88,0,6,2,0,0,0,0,p
76,12,3,0,0,0,0,0,p
75,0,7,5,0,0,0,0,p
70,0,9,13,0,0,0,0,p
69,0,15,8,0,0,0,0,p
49,0,17,16,0,0,0,0,p
47,0,30,7,0,0,0,0,p
45,0,22,11,0,0,0,0,p
45,0,9,31,0,0,0,4,p
99,0,0,0,0,0,0.06,0,p
99,0,0,0,0,0,0.08,0,p
99,0,0,0,0.3,0,0,0,p
99,0,0,0,0,0,0,0.1,p
99,0,0,0,0,0,0,0.05,p
98,0.3,0,0,0,0,0,0,p
98,0.6,0,0,0,0,0,0,p
97,1,0,0,0,0,0,0,p
97,0,0,0,0,0,0.5,0,p
96,0,0,0,0,0,0,0.8,p
96,0,0,0,0,0,0,0.8,p
96,1.1,0,0,0,0,0,0.4,p
95,0,0,0,0.8,0,0,0.8,p
95,1.3,0,0,0,0,0,0,p
95,1.7,0,0,0,0,0,0,p
95,0,0,0,0,0,0,1,p
91,4,0,0,0,0,0,0,p
53,33,0,0,0,0,0,3,p
22,58,9,0,0,0,0,0,p
19,0,53,0,0,12,0,0,p
19,18,22,0,0,18,0,0,p
15,0,64,0,0,0,14,0,p
12,0,53,8,0,16,0,0,p
6,0,78,11,0,0,0,0,p
0,9,0,0,0,70,0,0,p
0,0,96,2,0,0,0,0.6,z
0,0,96,2,0,0,0,0.4,z
0,0,93,4,0,0,0,0,z
0,0,93,4,0,0,0,1,z
0,0,93,3,0,0,0,1,z
0,0,90,6,0,0,0,1,z
0,0,89,8,0,0.8,0,0,z
0,0,89,7,0,0,0,1,z
0,0,87,10,0,0,0,0,z
0,0,87,8,0,1,0,0,z
0,0,87,6,0,2,0,0,z
0,0,85,8,0,2,0,0,z
0,0,84,13,0,0,0,0.8,z
3,0,84,9,0,0,0,0,z
3,0,84,4.5,0,0,0,0,z
0,0,83,9,0,0,0,3,z
0,0,82,13,0,0,0,0.9,z
0,0,82,12,0,0,0,1.8,z
0,0,82,11,0,0,0,3,z
4,0,82,9,0,0,0,0,z
1,0,82,6,0,0,0,0,z
0,0,81,13,0,0,0,0,z
0,0,81,8,0,6,0,0,z
0,0,80,15,0,0,0,1,z
0,0,80,9,0,0,0,3,z
9,0,80,0,0,3,0,0,z
0,0,79,15,0,0,0,2,z
0,0,79,8,0,6,0,0,z
0,0,78,13,0,5,0,0,z
0,0,78,10,0,0,0,6,z
6,0,78,6,0,0,0,0,z
0,0,77,19,0,0,0,1,z
0,0,76,11,0,0,0,6,z
0,0,75,19,0,0,0,2,z
0,0,75,19,0,0,0,2,z
2,0,75,18,0,0,0,0,z
0,0,75,13,0,0,0,4,z
2,0,74,16,0,0,0,0,z
6,0,74,15,0,0,0,0,z
0,0,72,16,0,5,0,3,z
0,0,70,26,0,0,0,1.3,z
0,0,68,24,0,0,0,2.9,z
8,0,66,20,0,0,0,0,z
12,0,66,17,0,0,0,0,z
12,0,66,8,0,0,0,0,z
0,0,64,9,0,12,0,0,z
0,0,61,29,0,5,0,0,z
0,0,61,25,0,0,0,6,z
4,0,61,7,0,19,0,0,z
0,0,61,5,0,26,0,0,z
0,0,60,36,0,0,0,0.8,z
0,0,57,40,0,0,0,1.1,z
15,0,56,13,0,0,0,0,z
0,0,54,40,0,0,0,1.9,z
0,0,53,42,0,0,0,1.8,z
0,0,53,6,0,34,0,0,z
14,0,51,0,0,16,0,0,z
0,0,50,46,0,0,0,1.5,z
10,0,50,0,0,21,0,0,z
0,0,49,46,0,0,0,1.2,z
0,0,47,7,0,38,0,0,z
0,0,41,55,0,0,0,1.1,z
0,0,40,26,0,23,0,0,z
0,0,38,56,0,0,0,1.6,z
42,0,38,0,0,0,0,0,z
7,0,37,50,0,0,0,0,z
0,0,25,70,0,0,0,1.7,z
0,0,20,74,0,0,0,2,z
51,0,18,21,0,0,0,0,z
0,0,15,81,0,1,0,0,z
0,0,96,2,0,0,0,0.6,n
0,0,96,2,0,0,0,0.4,n
0,0,93,4,0,0,0,0,n
0,0,93,4,0,0,0,1,n
0,0,93,3,0,0,0,1,n
0,0,90,6,0,0,0,1,n
0,0,89,8,0,0.8,0,0,n
0,0,89,7,0,0,0,1,n
0,0,87,10,0,0,0,0,n
0,0,87,8,0,1,0,0,n
0,0,87,6,0,2,0,0,n
0,0,85,8,0,2,0,0,n
0,0,84,13,0,0,0,0.8,n
3,0,84,9,0,0,0,0,n
3,0,84,4.5,0,0,0,0,n
0,0,83,9,0,0,0,3,n
0,0,82,13,0,0,0,0.9,n
0,0,82,12,0,0,0,1.8,n
0,0,82,11,0,0,0,3,n
4,0,82,9,0,0,0,0,n
1,0,82,6,0,0,0,0,n
0,0,81,13,0,0,0,0,n
0,0,81,8,0,6,0,0,n
0,0,80,15,0,0,0,1,n
0,0,80,9,0,0,0,3,n
9,0,80,0,0,3,0,0,n
0,0,79,15,0,0,0,2,n
0,0,79,8,0,6,0,0,n
0,0,78,13,0,5,0,0,n
0,0,78,10,0,0,0,6,n
6,0,78,6,0,0,0,0,n
0,0,77,19,0,0,0,1,n
0,0,76,11,0,0,0,6,n
0,0,75,19,0,0,0,2,n
0,0,75,19,0,0,0,2,n
2,0,75,18,0,0,0,0,n
0,0,75,13,0,0,0,4,n
2,0,74,16,0,0,0,0,n
6,0,74,15,0,0,0,0,n
0,0,72,16,0,5,0,3,n
0,0,70,26,0,0,0,1.3,n
0,0,68,24,0,0,0,2.9,n
8,0,66,20,0,0,0,0,n
12,0,66,17,0,0,0,0,n
12,0,66,8,0,0,0,0,n
0,0,64,9,0,12,0,0,n
0,0,61,29,0,5,0,0,n
0,0,61,25,0,0,0,6,n
4,0,61,7,0,19,0,0,n
0,0,61,5,0,26,0,0,n
0,0,60,36,0,0,0,0.8,n
0,0,57,40,0,0,0,1.1,n
15,0,56,13,0,0,0,0,n
0,0,54,40,0,0,0,1.9,n
0,0,53,42,0,0,0,1.8,n
0,0,53,6,0,34,0,0,n
14,0,51,0,0,16,0,0,n
0,0,50,46,0,0,0,1.5,n
10,0,50,0,0,21,0,0,n
0,0,49,46,0,0,0,1.2,n
0,0,47,7,0,38,0,0,n
0,0,41,55,0,0,0,1.1,n
0,0,40,26,0,23,0,0,n
0,0,38,56,0,0,0,1.6,n
42,0,38,0,0,0,0,0,n
7,0,37,50,0,0,0,0,n
0,0,25,70,0,0,0,1.7,n
0,0,20,74,0,0,0,2,n
51,0,18,21,0,0,0,0,n
0,0,15,81,0,1,0,0,n
99,0,0,0,0,0,0.05,0,p
99,0,0,0,0,0.1,0,0,p
99,0,0,0,0,0,0,0.1,p
99,0,0,0,0,0,0.05,0,p
99,0,0,0,0,0,0,0.06,p
99,0,0,0,0,0,0.03,0,p
99,0,0,0,0,0.1,0,0,p
98,0,0.5,0,0,0,0,0,p
98,0,0,0,0,0.4,0,0,p
97,0,0,0,0,1,0,0,p
97,0,0.8,0,0,0,0,0,p
93,0,1,0,0,2,0,0,p
81,1,0,0,0,11,0,0,p
56,0,0,6,0,21,0,0,p
48,0,9,0,0,25,0,0,p
27,0,23,7,0,32,0,0,p
12,0,18,0,0,51,0,0,p
11,0,49,14,0,14,0,0,p
11,0,8,0,0,64,0,0,p
9,0,66,12,0,0,0,0,p
5,0,0,15,0,65,0,0,p
4,0,68,8,0,6,0,6,p
0,0,87,8,0,0,0,1,p
0,0,55,37,0,0,0,2,p
0,0,67,25,0,0,0,3,p
0,0,67,16,0,0,0,7,p
0,0,10,5,0,76,0,0,p
0,0,56,29,0,0,0,5,p
0,0,77,9,0,0,0,3,p
0,0,68,21,0,0,0,3,p
0,0,91,5,0,0,0,1,z
0,0,90,6,0,0,0,1,z
0,0,90,5,0,0,0,0.9,z
0,0,90,5,0,0,0,1.4,z
0,0,89,7,0,0,0,0,z
0,0,89,5,0,0,0,1,z
0,0,86,6,0,0,0,4,z
0,0,85,5,0,0,0,2,z
0,0,85,11,0,0,0,1,z
0,0,84,7,0,0,0,2,z
0,0,83,12,0,0,0,2,z
0,0,83,11,0,0,0,2,z
0,0,82,9,0,0,0,3,z
0,0,79,15,0,0,0,2,z
0,0,79,16,0,0,0,1,z
0,0,78,18,0,0,0,1,z
0,0,78,14,0,0,0,3,z
0,0,75,21,0,0,0,1,z
0,0,75,12,0,0,0,5,z
0,0,74,20,0,0,0,4,z
0,0,72,17,0,0,0,6,z
0,0,70,21,0,0,0,5,z
0,0,69,24,0,0,0,3,z
0,0,64,29,0,0,0,4,z
0,0,64,31,0,0,0,1,z
0,0,62,33,0,0,0,2,z
0,0,55,36,0,0,0,5,z
0,0,54,40,0,0,0,3,z
0,0,39,52,0,0,0,52,z
0,0,26,66,0,0,0,5,z
0,0,1,95,0,0,0,1,n
0,0,2,95,0,0,0,2,n
0,0,0,92,0,0,0,3,n
0,0,7,89,0,0,0,2,n
0,0,4,89,0,0,0,3,n
0,0,0,89,0,0,0,6,n
0,0,5,88,0,0,0,4,n
0,0,8,83,0,0,0,3,n
0,0,9,81,0,0,0,5,n
0,0,8,81,0,0,0,8,n
0,0,9,77,0,0,0,10,n
0,0,11,77,0,0,0,6,n
0,0,19,70,0,0,0,7,n
0,0,7,69,0,0,0,20,n
0,0,14,61,0,0,0,20,n
0,0,20,58,0,15,0,0,n
0,0,35,58,0,2,0,0,n
0,0,32,55,0,0,0,5,n
0,0,32,54,0,0,0,9,n
0,0,37,53,0,0,0,4,n
0,0,39,51,0,0,0,3,n
0,0,28,48,0,0,0,19,n
0,0,29,45,0,0,0,19,n
0,0,45,40,0,0,0,9,n
0,0,55,33,0,0,0,6,n
0,0,67,28,0,0,0,2,n
0,0,55,27,0,10,0,0,n
0,0,36,14,0,39,0,0,n
0,0,81,13,0,0,0,2,n
0,0,0,0,16,26,41,0,n
